NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316040854.CSV"
597,R.,R715,039.0 o,39.0 o,41.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316041017.CSV"
597,R.,R715,039.0 o,39.0 o,41.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042003.CSV"
597,R.,R715,039.0 o,39.0 o,41.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042127.CSV"
597,R.,R715,039.0 o,39.0 o,41.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042453.CSV"
597,R.,R715,039.0 o,39.0 o,41.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042739.CSV"
597,R.,R715,039.0 o,39.0 o,42.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042555.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042044.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042830.CSV"
597,R.,R715,039.0 o,39.0 o,42.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042405.CSV"
597,R.,R715,039.0 o,39.0 o,41.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042920.CSV"
597,R.,R715,039.0 o,39.0 o,40.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043052.CSV"
597,R.,R715,039.0 o,39.0 o,42.2,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316043233.CSV"
597,R.,R715,039.0 o,39.0 o,42.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220316042657.CSV"
